"time","answer","id"
"1473869585662","asd","David Nitkin"
"1473953836583","setwd(~/Dropbox (Personal)/Github/Assignment 1)","David Nitkin"
"1473954978002","install.packages(swirl)","David Nitkin"
"1473955007605","library(swirl)","David Nitkin"
"1473955039949","swirl()","David Nitkin"
"1473955666432","5+7","David Nitkin"
"1473955697065","x <- 5 + 7","David Nitkin"
"1473955724878","x","David Nitkin"
"1473955731540","play()","David Nitkin"
"1473955734269","x","David Nitkin"
"1473955737188","x + 5","David Nitkin"
"1473955740156","x*x","David Nitkin"
"1473955751085","y <- x+x","David Nitkin"
"1473955755181","y","David Nitkin"
"1473955757723","y+x","David Nitkin"
"1473955761172","nxt()","David Nitkin"
"1473955769446","y <- x - 3","David Nitkin"
"1473955771616","y","David Nitkin"
"1473955844150","c(1.1, 9, 3.14)","David Nitkin"
"1473955861418","c(1.1, 9, 3.14).","David Nitkin"
"1473955875936","z <- c(1.1, 9, 3.14)","David Nitkin"
"1473955887217","?c","David Nitkin"
"1473955894329","z","David Nitkin"
"1473955929747","z, 555, v","David Nitkin"
"1473955938418","z, 555, z","David Nitkin"
"1473955946345","c(z, 555, z)","David Nitkin"
"1473955961646","z * 2 + 100","David Nitkin"
"1473956022489","play()","David Nitkin"
"1473956028179","sqrt(9)","David Nitkin"
"1473956035060","sqrt(z)","David Nitkin"
"1473956045620","nxt()","David Nitkin"
"1473956063559","my_sqrt <- sqrt(z-1)","David Nitkin"
"1473956084243","my_sqrt","David Nitkin"
"1473956115573","my_div(z/my_sqrt)","David Nitkin"
"1473956124520","my_div <- (z/my_sqrt)","David Nitkin"
"1473956161634","my_div <- z / my_sqrt","David Nitkin"
"1473956178024","my_div","David Nitkin"
"1473956245774","play()","David Nitkin"
"1473956251342","rm(x)","David Nitkin"
"1473956256289","nxt()","David Nitkin"
"1473956278452","c(1, 2, 3, 4) + c(0, 10)","David Nitkin"
"1473956302857","c(1, 2, 3, 4) + c(0, 10, 100)","David Nitkin"
"1473956335664","z * 2 + 1000","David Nitkin"
"1473956353091","my_sqrt","David Nitkin"
"1473956363452","my_div","David Nitkin"
"1473956448264","swirl()","David Nitkin"
"1473956512512","swirl()","David Nitkin"
"1473956524668","package(swirl)","David Nitkin"
"1473956567276","library(swirl)","David Nitkin"
"1473956572459","swirl()","David Nitkin"
"1473956594564","bye()","David Nitkin"
"1474057749755","load(swirl)","David Nitkin"
"1474057762655","?load()","David Nitkin"
"1474057773389","?open()","David Nitkin"
"1474057811596","library(swirl)","David Nitkin"
"1474057815033","swirl()","David Nitkin"
"1474058241659","getwd()","David Nitkin"
"1474058254932","ls()","David Nitkin"
"1474058278206","x <- 9","David Nitkin"
"1474058280646","ls()","David Nitkin"
"1474058284407","x","David Nitkin"
"1474058294886","dir()","David Nitkin"
"1474058321299","?list.files()","David Nitkin"
"1474058335315","?list.files","David Nitkin"
"1474058522865","args(listfiles)","David Nitkin"
"1474058526088","args(list.files)","David Nitkin"
"1474058552156","getwd() <- old.dir","David Nitkin"
"1474058561477","old.dir <- getwd()","David Nitkin"
"1474058590873","dir.create(testdir)","David Nitkin"
"1474058612035","dir.create(testdir)","David Nitkin"
"1474058623282","?dir.create","David Nitkin"
"1474058648010","dir.create()","David Nitkin"
"1474058656613","dir.crate(old.dir)","David Nitkin"
"1474058663975","dir.create(old.dir)","David Nitkin"
"1474058681679","dir.create(testdir)","David Nitkin"
"1474058738956","getwd()","David Nitkin"
"1474058746948","setwd(testdir)","David Nitkin"
"1474058769206","file.create(mytest.R)","David Nitkin"
"1474058801841","list.files()","David Nitkin"
"1474058818042","file.exists(mytest.R)","David Nitkin"
"1474058867422","file.info(mytest.R)","David Nitkin"
"1474058925172","?file.rename","David Nitkin"
"1474058962414","file.rename(mytest.R, mytest2.R)","David Nitkin"
"1474059111667","file.copy(mytest2.R, mytest3.R)","David Nitkin"
"1474059220712","play()","David Nitkin"
"1474059225746","?file.path()","David Nitkin"
"1474059254189","nxt()","David Nitkin"
"1474059265949","file.path(mytest3.R)","David Nitkin"
"1474059385518","file.path(folder1, folder2)","David Nitkin"
"1474059402154","?dir.create()","David Nitkin"
"1474059407913","?dir.create","David Nitkin"
"1474059465269","get.wd()","David Nitkin"
"1474059471062","getwd()","David Nitkin"
"1474059510162","dir.create(file.path(testdir2, testdir3), recursive = True))","David Nitkin"
"1474059522666","dir.create(file.path(testdir2, testdir3), recursive = True))
1474059529962:dir.create(file.path(testdir2, testdir3), recursive = True))","David Nitkin"
"1474059538203","dir.create(file.path(testdir2, testdir3), recursive = True)
1474059541700:dir.create(file.path(testdir2, testdir3), recursive = True)","David Nitkin"
"1474059550651","dir.create(file.path(testdir2, testdir3), recursive = True)
1474059552909:dir.create(file.path('testdir2', 'testdir3'), recursive = True)","David Nitkin"
"1474059555468","play()","David Nitkin"
"1474059559668","nxt()","David Nitkin"
"1474059600448","dir.create(file.path(testdir2, testdir3), recursive = True)","David Nitkin"
"1474059606864","dir.create(file.path(testdir2, testdir3), recursive = TRUE)","David Nitkin"
"1474059686127","play()","David Nitkin"
"1474059690265","getwd","David Nitkin"
"1474059693945","getwd()","David Nitkin"
"1474059800393","unlink(testdir, recursive = TRUE)","David Nitkin"
"1474059809522","getwd()","David Nitkin"
"1474059818993","unlink(testdir2, recursive = TRUE)","David Nitkin"
"1474059824083","getwd()","David Nitkin"
"1474059830227","?unlink()","David Nitkin"
"1474059856878","unlink(testdir3, recursive = TRUE)","David Nitkin"
"1474059860309","getwd()","David Nitkin"
"1474059883598","ls()","David Nitkin"
"1474059886888","dir()","David Nitkin"
"1474059901847","file.remove(mytest2.R)","David Nitkin"
"1474059912202","file.remove(mytest3.R)","David Nitkin"
"1474059952852","unlink(testdir2, recursive = TRUE)","David Nitkin"
"1474059966173","nxt()","David Nitkin"
"1474059977279","setwd(old.dir)","David Nitkin"
"1474059999840","unlink(testdir, recursive = TRUE)","David Nitkin"
"1474060034522","getwd()","David Nitkin"
"1474060039459","list.files()","David Nitkin"
"1474060050379","dir.create(test.dir)","David Nitkin"
"1474060055005","getwd()","David Nitkin"
"1474060058604","list.files()","David Nitkin"
"1474060075606","unlink(test.dir, recursive = TRUE)","David Nitkin"
"1474060078886","list.files()","David Nitkin"
"1474383800609","getwd()","David Nitkin"
"1474383851500","setwd(/Users/davidnitkin/Dropbox (Personal)/Github)","David Nitkin"
"1474383854891","getwd()","David Nitkin"
"1474383863679","ls()","David Nitkin"
"1474383886552","dir()","David Nitkin"
"1474476213904","swirl()","David Nitkin"
"1474476221646","library(swirl)","David Nitkin"
"1474476224531","swirl()","David Nitkin"
"1474476264394","1","David Nitkin"
"20","","David Nitkin"
"1474476274303","pi","David Nitkin"
