"time","answer","id"
1473785408270,"testing","ting"
1473790019517,"testing","ting"
1473790026379,"1+1=","ting"
1473790032209,"2","ting"
1473790038468,"4+4","ting"
1473790137747,"7+8","ting"
1473790258944,"5-4","ting"
1473790261860,"4+3","ting"
1473790771150,"5—4","ting"
1473790775267,"3+2","ting"
1473790890470,"4+2","ting"
1473791199018,"testing","ting"
1473791202538,"5+4","ting"
1473791549424,"6+5","ting"
1473791583496,"0+4","ting"
1473791588067,"5+5","ting"
1473802180547,"1+1","ting"
1473802180567,"2+3","ting"
1474559710665,"install.packages(swirl)","ting"
1474559744422,"library(swirl)","ting"
1474559803591,"swirl()","ting"
1474559928241,"5+7","ting"
1474559965539,"x < -5+7","ting"
1474559980251,"x <- 5 + 7","ting"
1474559994537,"x","ting"
1474560018253,"y <- x - 3","ting"
1474560022150,"y","ting"
1474560107254,"z <- c(1.1, 9, 3.14)","ting"
1474560124101,"c","ting"
1474560127967,"c()","ting"
1474560136765,"info()","ting"
1474560183516,"?c","ting"
1474560193745,"z","ting"
1474560283071,"t(z, 555)","ting"
1474560376426,"c(z, 555)","ting"
1474560406658,"c(z, 555, z)","ting"
1474560428491,"z *2+100","ting"
1474560485248,"my_sqrt <- (z - 1)^2","ting"
1474560512019,"my_sqrt <- sqrt(z - 1)","ting"
1474560616548,"print(my_sqrt)","ting"
1474560648265,"my_sqrt","ting"
1474560859524,"my_div <- my_sqrt/z","ting"
1474560872465,"my_div <- z / my_sqrt","ting"
1474560938744,"print(my_div)","ting"
1474560948256,"my_div","ting"
1474561072806,"c(1,2,3,4) + c(0,10)","ting"
1474561107422,"recycling","ting"
1474561132095,"c(1, 2, 3, 4) + c(0, 10, 100)","ting"
1474561177676,"(z * 2 + 100)","ting"
1474561196103,"z * 2 + 100","ting"
1474561204220,"z * 2 + 1000","ting"
1474561277120,"my_div","ting"
1474561458757,"H <-read.table(~/.rstudio-desktop/history_database, sep=:, fill=T, stringsAsFactors=F)","ting"
1474561458804,"names(H) <- c(time, answer)","ting"
1474561458805,"H$id <- YOUR NAME","ting"
1474561458807,"write.csv(H, file = lesson1.csv, row.names = FALSE)","ting"
1474561480549,"swirl()","ting"
1474561520662,"H <-read.table(~/.rstudio-desktop/history_database, sep=:, fill=T, stringsAsFactors=F)","ting"
1474561666970,"H <-read.table(~/.rstudio-desktop/history_database, sep=:, fill=T, stringsAsFactors=F)","ting"
1474561666978,"names(H) <- c(time, answer)","ting"
1474561666979,"H$id <- YOUR NAME","ting"
1474561666980,"write.csv(H, file = lesson1.csv, row.names = FALSE)","ting"
1474561830232,"H <-read.table(~/.rstudio-desktop/history_database, sep=:, fill=T, stringsAsFactors=F)","ting"
